movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Mr. Magoo,1997-12,Comedy,PG,21437192.0,39145784.0
Kundun,1997-12,Drama,PG-13,5686694.0,10236836.0
Deep Rising,1998-01,Action,R,11203026.0,20136775.0
Krippendorf's Tribe,1998-02,Comedy,PG-13,7571115.0,13608633.0
An Alan Smithee Film: Burn Hollywood …,1998-02,Comedy,R,45779.0,82277.0
Meet the Deedles,1998-03,Comedy,PG,4356126.0,7829877.0
He Got Game,1998-05,Drama,R,21567853.0,38766948.0
The Horse Whisperer,1998-05,Drama,PG-13,75383563.0,135497531.0
"Six Days, Seven Nights",1998-06,Romantic Comedy,PG-13,74339294.0,133620516.0
Mulan,1998-06,Adventure,G,120620254.0,216807832.0
Armageddon,1998-07,Adventure,PG-13,201578182.0,362324957.0
Jane Austen's Mafia,1998-07,Comedy,PG-13,19843795.0,35668055.0
The Parent Trap,1998-07,Comedy,PG,66308518.0,119185667.0
Firelight,1998-09,Drama,R,784419.0,1409943.0
Simon Birch,1998-09,Drama,PG,18253415.0,32809442.0
Holy Man,1998-10,Comedy,PG,12069719.0,21694605.0
Beloved,1998-10,Drama,R,22852487.0,41062682.0
The Waterboy,1998-11,Comedy,PG-13,161491646.0,288691833.0
I'll Be Home For Christmas,1998-11,Comedy,PG,12214338.0,21941840.0
A Bug's Life,1998-11,Adventure,G,162798565.0,288981698.0
Enemy of the State,1998-11,Action,R,111549836.0,198472008.0
Rushmore,1998-12,Black Comedy,R,17105219.0,28392518.0
A Civil Action,1998-12,Drama,PG-13,56709981.0,94139530.0
Mighty Joe Young,1998-12,Adventure,PG,50632037.0,87906042.0
My Favorite Martian,1999-02,Comedy,PG,36850101.0,61150849.0
The Other Sister,1999-02,Romantic Comedy,PG-13,27807627.0,46145331.0
Doug's 1st Movie,1999-03,Adventure,G,19421271.0,32228598.0
Ten Things I Hate About You,1999-03,Romantic Comedy,PG-13,38177966.0,63354375.0
Endurance,1999-05,,PG,229128.0,380218.0
Instinct,1999-06,Drama,R,34105207.0,56595842.0
Tarzan,1999-06,Adventure,G,171091819.0,283900254.0
Summer of Sam,1999-07,Drama,R,19288130.0,32007656.0
Inspector Gadget,1999-07,Comedy,PG,97387965.0,161610341.0
The Sixth Sense,1999-08,Thriller/Suspense,PG-13,293506292.0,485424724.0
The 13th Warrior,1999-08,Action,R,32698899.0,54262148.0
Breakfast of Champions,1999-09,Comedy,R,178287.0,295851.0
Mumford,1999-09,Comedy,R,4559569.0,7566363.0
"Mystery, Alaska",1999-10,Comedy,R,8891623.0,14755189.0
The Straight Story,1999-10,Drama,G,6197866.0,10111144.0
The Insider,1999-11,Drama,R,28965197.0,47794214.0
Toy Story 2,1999-11,Adventure,G,245852179.0,404450426.0
Cradle Will Rock,1999-12,Drama,R,2899970.0,4609153.0
Deuce Bigalow: Male Gigolo,1999-12,Comedy,R,65535067.0,106921374.0
Bicentennial Man,1999-12,Drama,PG,58220776.0,94838225.0
Play it to the Bone,1999-12,Comedy,R,8427204.0,13180524.0
Fantasia 2000 (IMAX),2000-01,Musical,G,60507228.0,94852354.0
Gun Shy,2000-02,Comedy,R,1638202.0,2562155.0
The Tigger Movie,2000-02,Adventure,G,45542421.0,71228678.0
Mission to Mars,2000-03,Adventure,PG,60874615.0,95208344.0
High Fidelity,2000-03,Comedy,R,27277055.0,42661516.0
Keeping the Faith,2000-04,Romantic Comedy,PG-13,37036404.0,57925202.0
Dinosaur,2000-05,Adventure,PG,137748063.0,215438985.0
Shanghai Noon,2000-05,Western,PG-13,56932305.0,89042541.0
Gone in 60 Seconds,2000-06,Action,PG-13,101643008.0,158970411.0
Fantasia 2000 (Theatrical Release),2000-06,Musical,G,9103630.0,14238144.0
The Kid,2000-07,Comedy,PG,69688384.0,108993148.0
Coyote Ugly,2000-08,Drama,PG-13,60786269.0,95070168.0
The Crew,2000-08,Comedy,PG-13,13019253.0,20362201.0
Duets,2000-09,Drama,R,4734235.0,7404372.0
Remember the Titans,2000-09,Drama,PG,115654751.0,180742479.0
Unbreakable,2000-11,Thriller/Suspense,PG-13,94999143.0,148208901.0
102 Dalmatians,2000-11,Comedy,G,66941559.0,104055039.0
The Emperor's New Groove,2000-12,Adventure,G,89296573.0,136789252.0
"O Brother, Where Art Thou?",2000-12,Comedy,PG-13,45506619.0,67922002.0
Double Take,2001-01,Action,PG-13,29823162.0,44418589.0
Recess: School's Out,2001-02,Comedy,G,36696761.0,54656124.0
Just Visiting,2001-04,Comedy,PG-13,4777007.0,7114869.0
Pearl Harbor,2001-05,Action,PG-13,198539855.0,295705112.0
Atlantis: The Lost Empire,2001-06,Adventure,PG,84052762.0,125188122.0
crazy/beautiful,2001-06,Drama,PG-13,16929123.0,25214223.0
The Princess Diaries,2001-08,Comedy,G,108244774.0,161218928.0
Bubble Boy,2001-08,Comedy,PG-13,5002310.0,7450434.0
Max Keeble's Big Move,2001-10,Comedy,PG,17292381.0,25749730.0
Corky Romano,2001-10,Comedy,PG-13,23978402.0,35705805.0
High Heels and Low Lifes,2001-10,,R,226792.0,337782.0
"Monsters, Inc.",2001-11,Adventure,G,289423425.0,416073179.0
Out Cold,2001-11,Comedy,PG-13,13906394.0,20700691.0
The Royal Tenenbaums,2001-12,Black Comedy,R,52353636.0,76758193.0
Beauty and the Beast (IMAX),2002-01,Musical,G,25487028.0,36980311.0
Frank McKlusky C.I.,2002-01,,,0.0,0.0
Snow Dogs,2002-01,Comedy,PG,81150692.0,117745317.0
The Count of Monte Cristo,2002-01,Drama,PG-13,54228104.0,78682079.0
Peter Pan: Return to Neverland,2002-02,Adventure,G,48430258.0,70269715.0
Reign of Fire,2002-02,Action,PG-13,43061982.0,62480631.0
Sorority Boys,2002-03,Comedy,R,10198766.0,14797862.0
The Rookie,2002-03,Drama,G,75600072.0,109691666.0
Big Trouble,2002-04,Comedy,PG-13,7262288.0,10537188.0
ESPN's Ultimate X - The Movie,2002-05,Documentary,PG,4197175.0,6089874.0
Bad Company (b),2002-06,Action,PG-13,30157016.0,43756218.0
Lilo & Stitch,2002-06,Adventure,PG,145771527.0,211506702.0
The Country Bears,2002-07,Adventure,G,16988996.0,24650121.0
Signs,2002-08,Thriller/Suspense,PG-13,227965690.0,330754439.0
Sen to Chihiro no Kamikakushi,2002-09,Adventure,PG,10049886.0,14338992.0
Sweet Home Alabama,2002-09,Comedy,PG-13,127214072.0,184521151.0
Moonlight Mile,2002-09,Drama,PG-13,6830957.0,9909094.0
Tuck Everlasting,2002-10,Drama,PG,19161999.0,27789959.0
The Santa Clause 2,2002-11,Comedy,G,139225854.0,201959095.0
Treasure Planet,2002-11,Adventure,PG,38120554.0,55189145.0
The Hot Chick,2002-12,Comedy,PG-13,35081550.0,50624654.0
25th Hour,2002-12,Drama,R,13084595.0,18325463.0
The Recruit,2003-01,Thriller/Suspense,PG-13,52784696.0,73793522.0
Shanghai Knights,2003-02,Adventure,PG-13,60470220.0,84537962.0
The Jungle Book 2,2003-02,Adventure,G,47901582.0,66966883.0
Bringing Down the House,2003-03,Comedy,PG-13,132675402.0,185481530.0
Piglet's Big Movie,2003-03,Comedy,G,23103423.0,32298812.0
Ghosts of the Abyss,2003-04,Documentary,G,17093668.0,23803108.0
Holes,2003-04,Drama,PG,67383924.0,94203395.0
The Lizzie McGuire Movie,2003-05,Comedy,PG,42734455.0,59743191.0
Finding Nemo,2003-05,Adventure,G,380529370.0,518148559.0
